antecedents,consequents,lift,confidence,support
Binders,Art,0.887573964,0.333333333,0.182222222
Art,Binders,0.887573964,0.485207101,0.182222222
Furnishings,Art,0.809796865,0.304123711,0.131111111
Art,Furnishings,0.809796865,0.349112426,0.131111111
Storage,Art,0.831220062,0.312169312,0.131111111
Art,Storage,0.831220062,0.349112426,0.131111111
Phones,Art,0.979550541,0.367875648,0.157777778
Art,Phones,0.979550541,0.420118343,0.157777778
Art,Chairs,0.998520710,0.301775148,0.113333333
Chairs,Art,0.998520710,0.375,0.113333333
Art,Paper,0.959442302,0.526627219,0.197777778
Paper,Art,0.959442302,0.360323887,0.197777778
Labels,Paper,0.993743099,0.545454545,0.106666667
Paper,Labels,0.993743099,0.194331984,0.106666667
Furnishings,Binders,0.990067890,0.541237113,0.233333333
Binders,Furnishings,0.990067890,0.426829268,0.233333333
Binders,Accessories,0.934374452,0.288617886,0.157777778
Accessories,Binders,0.934374452,0.510791367,0.157777778
Binders,Storage,0.996902826,0.418699187,0.228888889
Storage,Binders,0.996902826,0.544973545,0.228888889
Binders,Appliances,1.061628920,0.264227642,0.144444444
Appliances,Binders,1.061628920,0.580357143,0.144444444
Phones,Binders,0.938329331,0.512953368,0.22
Binders,Phones,0.938329331,0.402439024,0.22
Binders,Paper,0.866495507,0.475609756,0.26
Paper,Binders,0.866495507,0.473684211,0.26
Furnishings,Accessories,0.917822443,0.283505155,0.122222222
Accessories,Furnishings,0.917822443,0.395683453,0.122222222
Furnishings,Storage,0.969563083,0.407216495,0.175555556
Storage,Furnishings,0.969563083,0.417989418,0.175555556
Furnishings,Appliances,0.931977172,0.231958763,0.1
Appliances,Furnishings,0.931977172,0.401785714,0.1
Phones,Furnishings,0.925431334,0.398963731,0.171111111
Furnishings,Phones,0.925431334,0.396907216,0.171111111
Furnishings,Chairs,0.903956944,0.273195876,0.117777778
Chairs,Furnishings,0.903956944,0.389705882,0.117777778
Furnishings,Paper,0.901540131,0.494845361,0.213333333
Paper,Furnishings,0.901540131,0.388663968,0.213333333
Phones,Accessories,0.872255563,0.269430052,0.115555556
Accessories,Phones,0.872255563,0.374100719,0.115555556
Paper,Accessories,0.996126176,0.307692308,0.168888889
Accessories,Paper,0.996126176,0.546762590,0.168888889
Phones,Storage,0.875894399,0.367875648,0.157777778
Storage,Phones,0.875894399,0.375661376,0.157777778
Storage,Chairs,0.857843137,0.259259259,0.108888889
Chairs,Storage,0.857843137,0.360294118,0.108888889
Storage,Paper,0.925390399,0.507936508,0.213333333
Paper,Storage,0.925390399,0.388663968,0.213333333
Appliances,Paper,0.845864662,0.464285714,0.115555556
Paper,Appliances,0.845864662,0.210526316,0.115555556
Phones,Chairs,0.942928985,0.284974093,0.122222222
Chairs,Phones,0.942928985,0.404411765,0.122222222
Phones,Paper,0.934530427,0.512953368,0.22
Paper,Phones,0.934530427,0.400809717,0.22
Paper,Chairs,0.910931174,0.275303644,0.151111111
Chairs,Paper,0.910931174,0.5,0.151111111
"Phones, Binders",Paper,0.828119249,0.454545455,0.1
"Phones, Paper",Binders,0.831485588,0.454545455,0.1
"Binders, Paper",Phones,0.896771622,0.384615385,0.1
Phones,"Binders, Paper",0.896771622,0.233160622,0.1
Binders,"Phones, Paper",0.831485588,0.182926829,0.1
Paper,"Phones, Binders",0.828119249,0.182186235,0.1
